noun_id;noun;verbs
103;bean:green;['stack', 'cut', 'wash', 'break', 'open', 'throw', 'put', 'remove', 'take']
137;plug;['take', 'insert', 'wash', 'remove', 'attach', 'move', 'pull', 'put', 'check', 'empty']
201;juice;['put', 'open', 'squeeze', 'shake', 'pour', 'close', 'take']
268;fan:extractor;['close', 'turn-off', 'turn-on', 'open']
64;parsley;['cut', 'wash', 'press', 'put', 'take', 'filter', 'gather']
100;tray;['throw', 'scrape', 'open', 'pour', 'hold', 'remove', 'soak', 'wash', 'adjust', 'put', 'pull', 'move', 'dry', 'filter', 'take', 'roll', 'flip']
7;bin;['pour', 'press', 'wash', 'sort', 'close', 'throw', 'open', 'fill', 'take', 'switch', 'move', 'put', 'insert']
78;mixture;['put', 'open', 'take', 'move', 'remove', 'pull', 'sample', 'squeeze', 'scoop', 'sort', 'check', 'form', 'pour', 'mix', 'wash']
89;top;['open', 'turn', 'put', 'adjust', 'cut', 'check', 'switch', 'throw', 'scrub', 'remove', 'brush', 'wrap', 'move', 'turn-on', 'take', 'wash', 'dry', 'turn-off', 'close']
231;watch;['check', 'put', 'remove', 'take']
27;cupboard;['hold', 'adjust', 'open', 'take', 'move', 'brush', 'wash', 'insert', 'pour', 'put', 'throw', 'sort', 'check', 'switch', 'close', 'search']
225;apple;['sort', 'take', 'wash', 'put', 'eat', 'cut']
92;pear;['choose', 'throw', 'remove', 'take', 'put', 'wash', 'cut']
80;sausage;['cut', 'squeeze', 'pull', 'mix', 'turn', 'insert', 'cook', 'peel', 'flip', 'remove', 'move', 'search', 'throw', 'wrap', 'put', 'scrape', 'pour', 'take']
152;kitchen;['sort', 'take', 'walk', 'wash']
249;yeast;['put', 'move', 'take', 'fold', 'scoop', 'pour', 'open']
274;garni:bouquet;['open', 'put', 'close']
119;coffee;['check', 'put', 'insert', 'take', 'prepare', 'move', 'close', 'throw', 'empty', 'sort', 'open', 'scoop', 'remove', 'video', 'crush', 'mix', 'pour', 'serve', 'level']
125;can;['throw', 'move', 'filter', 'remove', 'look', 'close', 'take', 'put', 'soak', 'wash', 'fill', 'choose', 'open', 'squeeze', 'tip', 'scrape', 'drop', 'season', 'shake', 'empty']
46;cream;['take', 'pour', 'mix', 'sample', 'squeeze', 'remove', 'apply', 'put']
77;carrot;['put', 'look', 'eat', 'cut', 'remove', 'throw', 'crush', 'mix', 'scrape', 'open', 'take', 'drop', 'wash', 'pull', 'move', 'dip', 'scoop', 'peel']
200;vinegar;['add', 'put', 'take', 'insert', 'pour', 'close', 'move', 'open']
22;package;['filter', 'check', 'throw', 'put', 'cut', 'empty', 'fold', 'open', 'carry', 'wrap', 'close', 'take', 'wash', 'store', 'look', 'move', 'add', 'pull', 'rip', 'pour', 'remove']
43;sauce;['apply', 'cut', 'close', 'insert', 'wrap', 'filter', 'realize', 'remove', 'finish', 'sprinkle', 'tip', 'mix', 'open', 'move', 'take', 'pour', 'scoop', 'add', 'put', 'store', 'measure']
183;mat:sushi;['put', 'take', 'water', 'squeeze']
120;lettuce;['open', 'take', 'wash', 'squeeze', 'insert', 'cook', 'pour', 'remove', 'put', 'cut', 'mix']
143;content;['pour', 'squeeze', 'mix', 'put', 'remove']
9;tap;['hold', 'open', 'pat', 'fold', 'flush', 'tap-off', 'remove', 'put', 'fill', 'turn', 'move', 'wash', 'scrub', 'attach', 'adjust', 'turn-on', 'close', 'gather', 'turn-off']
127;honey;['apply', 'take', 'open', 'mix', 'put']
162;melon;['put', 'take', 'cut', 'throw', 'peel']
111;machine:washing;['check', 'open', 'choose', 'turn-on', 'turn', 'set', 'turn-off', 'close']
170;flame;['set', 'turn-off', 'adjust']
171;aubergine;['remove', 'throw', 'put', 'take', 'cut', 'wash', 'flip']
75;stock;['sprinkle', 'crush', 'break', 'close', 'remove', 'take', 'put', 'cut', 'open', 'mix', 'pour', 'scoop', 'scrape']
10;onion;['turn', 'add', 'put', 'cut', 'divide', 'insert', 'press', 'remove', 'shake', 'wrap', 'peel', 'check', 'throw', 'slide', 'move', 'scrape', 'sprinkle', 'tip', 'mix', 'pour', 'form', 'decide-if', 'apply', 'take', 'wash', 'use', 'measure']
219;support;['shake', 'put', 'sort', 'turn', 'dry', 'insert', 'move', 'wash', 'open', 'take', 'close']
193;onion:spring;['take', 'wash', 'finish', 'pour', 'open', 'mix', 'peel', 'divide', 'put', 'cut']
60;lid;['close', 'peel', 'throw', 'wrap', 'put', 'pull', 'store', 'check', 'turn', 'twist', 'shake', 'lower', 'remove', 'lift', 'fill', 'take', 'turn-on', 'move', 'feel', 'wash', 'hold', 'reverse', 'dry', 'open']
93;cucumber;['throw', 'take', 'search', 'remove', 'open', 'put', 'wash', 'sample', 'pull', 'scoop', 'stack', 'cut']
